# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "../hisat_align/hisat_index/chr22_with_ERCC92.gtf" "-g" "gene_name" "-o" "counts.txt" "../hisat_align/shuffled_trimmed.pe_001.sorted.bam" "../hisat_align/shuffled_trimmed.pe_002.sorted.bam" "../hisat_align/shuffled_trimmed.pe_003.sorted.bam" "../hisat_align/shuffled_trimmed.pe_004.sorted.bam" "../hisat_align/shuffled_trimmed.pe_005.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_001.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_002.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_003.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_004.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_005.sorted.bam" 
Geneid	../hisat_align/shuffled_trimmed.pe_001.sorted.bam	../hisat_align/shuffled_trimmed.pe_002.sorted.bam	../hisat_align/shuffled_trimmed.pe_003.sorted.bam	../hisat_align/shuffled_trimmed.pe_004.sorted.bam	../hisat_align/shuffled_trimmed.pe_005.sorted.bam	../bwa_align/unshuffled_trimmed.pe_001.sorted.bam
KLHL22	12	17	21	20	20	0
XXbac-B562F10.11	7	10	14	13	14	0
RNY1P9	0	0	0	0	0	0
RN7SL812P	0	0	0	0	0	0
KRT18P5	7	6	9	5	6	0
MED15	187	195	178	188	181	0
AC007050.17	0	0	0	0	0	0
CCDC74BP1	0	0	0	0	0	0
SMPD4P1	1	1	0	1	0	0
IGLL4P	0	0	0	0	0	0
SLC9A3P2	0	0	0	0	0	0
ABHD17AP4	30	22	19	14	20	0
POM121L4P	0	1	0	2	1	0
BCRP5	0	0	0	0	0	0
TMEM191A	0	0	0	2	0	0
PI4KA	108	103	101	105	99	0
SERPIND1	13	14	14	18	10	0
SNAP29	39	35	59	47	46	0
AC007308.7	0	0	0	0	0	0
CRKL	147	179	194	191	172	0
XXbac-B135H6.15	0	0	0	0	0	0
AIFM3	0	0	0	0	2	0
LZTR1	55	74	79	90	81	0
XXbac-B135H6.18	0	0	0	0	0	0
THAP7	33	21	17	9	20	0
THAP7-AS1	4	1	3	0	1	0
TUBA3FP	0	3	0	0	0	0
P2RX6	0	0	0	0	0	0
SLC7A4	0	0	0	0	0	0
AC002472.11	0	0	0	0	0	0
MIR649	0	0	0	0	0	0
P2RX6P	0	0	0	0	0	0
LRRC74B	0	0	0	0	0	0
TUBA3GP	0	0	0	0	0	0
BCRP2	0	0	0	1	0	0
KB-1592A4.15	0	0	0	0	0	0
POM121L7	0	0	2	0	0	0
E2F6P2	1	0	1	0	0	0
FAM230B	0	0	0	0	0	0
KB-1592A4.14	0	0	0	0	0	0
GGT2	0	0	0	0	0	0
KB-1592A4.16	0	0	0	0	0	0
E2F6P3	0	0	0	0	0	0
POM121L8P	0	0	0	0	0	0
BCRP6	0	0	0	0	0	0
KB-1183D5.13	0	0	0	0	0	0
KB-1183D5.14	0	0	0	0	0	0
PPP1R26P5	0	0	0	0	0	0
KB-1183D5.18	0	0	0	0	0	0
KB-1183D5.16	0	0	0	0	0	0
RIMBP3B	0	0	0	0	0	0
RN7SKP63	0	0	0	0	0	0
HIC2	10	14	18	14	12	0
TMEM191C	0	0	0	0	0	0
PI4KAP2	11	6	13	17	12	0
RN7SKP221	0	0	0	0	0	0
RIMBP3C	0	0	0	0	0	0
UBE2L3	341	308	272	288	302	0
YDJC	26	19	31	18	47	0
CCDC116	2	2	0	0	2	0
KB-1440D3.14	0	0	0	0	0	0
SDF2L1	48	30	62	44	38	0
MIR130B	0	0	0	0	2	0
MIR301B	0	0	0	0	0	0
KB-1440D3.13	0	0	0	0	0	0
PPIL2	62	54	43	66	54	0
YPEL1	2	2	0	1	1	0
RN7SL280P	0	0	0	0	0	0
MAPK1	257	251	265	320	292	0
RNA5SP493	0	0	0	0	0	0
KB-1027C11.4	9	5	7	1	2	0
PPM1F	260	312	327	309	314	0
LL22NC03-86G7.1	1	6	3	10	6	0
TOP3B	1	0	0	2	0	0
PRAMENP	0	0	0	0	0	0
IGLVI-70	0	0	0	0	0	0
IGLV4-69	0	0	0	0	0	0
IGLVI-68	0	0	0	0	0	0
LL22NC03-23C6.13	0	0	0	0	0	0
LL22NC03-23C6.12	0	0	0	0	0	0
IGLV10-67	0	0	0	0	0	0
LL22NC03-23C6.15	0	0	0	0	0	0
IGLVIV-66-1	0	0	0	0	0	0
IGLVV-66	0	0	0	0	0	0
IGLVIV-65	0	0	0	0	0	0
IGLVIV-64	0	0	0	0	0	0
IGLVI-63	0	0	0	0	0	0
IGLV1-62	0	0	0	0	0	0
LL22NC03-88E1.18	0	0	0	0	0	0
IGLV8-61	0	0	0	0	0	0
LL22NC03-88E1.17	0	0	0	0	0	0
ABHD17AP5	55	37	46	52	42	0
LL22NC03-30E12.10	0	0	0	0	0	0
LL22NC03-30E12.11	0	0	0	0	0	0
IGLV4-60	0	0	0	0	0	0
LL22NC03-30E12.13	0	0	0	0	0	0
SOCS2P2	0	0	0	0	0	0
IGLVIV-59	0	0	0	0	0	0
IGLVV-58	0	0	0	0	0	0
BMP6P1	0	0	0	0	0	0
IGLV6-57	0	0	0	0	0	0
IGLVI-56	0	0	0	0	0	0
IGLV11-55	0	0	0	0	0	0
IGLV10-54	0	0	0	0	0	0
IGLVIV-53	0	0	0	0	0	0
TOP3BP1	1	0	0	1	0	0
LL22NC03-123E1.5	0	0	0	0	0	0
VPREB1	0	0	0	0	0	0
CH17-264L24.1	2	1	0	3	3	0
LL22NC03-2H8.5	2	0	0	0	2	0
LL22NC03-2H8.4	0	0	0	0	0	0
BMS1P20	0	0	0	0	0	0
LL22NC03-80A10.6	4	3	1	5	4	0
IGLV5-52	0	0	0	0	0	0
IGLV1-51	0	0	0	0	0	0
IGLV1-50	0	0	0	0	0	0
LL22NC03-80A10.11	0	0	0	0	0	0
IGLV9-49	0	0	0	0	0	0
LL22NC03-75A1.9	0	0	0	0	0	0
IGLV5-48	0	0	0	0	0	0
IGLV1-47	0	0	0	0	0	0
LL22NC03-22A12.9	0	0	0	0	0	0
IGLV7-46	0	0	0	0	0	0
LL22NC03-22A12.12	0	0	0	0	0	0
IGLV5-45	0	0	0	0	0	0
IGLV1-44	0	0	0	0	0	0
IGLV7-43	0	0	0	0	0	0
IGLVI-42	0	0	0	0	0	0
IGLVVII-41-1	0	0	0	0	0	0
IGLV1-41	0	0	0	0	0	0
IGLV1-40	0	0	0	0	0	0
ASH2LP1	0	0	0	0	0	0
IGLVI-38	0	0	0	0	0	0
IGLV5-37	0	0	0	0	0	0
IGLV1-36	0	0	0	0	0	0
KB-288A10.17	0	0	0	0	0	0
IGLV7-35	0	0	0	0	0	0
KB-288A10.19	0	0	0	0	0	0
ZNF280B	6	4	12	4	2	0
ZNF280A	0	0	0	2	0	0
PRAME	0	0	0	0	0	0
LL22NC03-63E9.3	0	1	0	0	0	0
IGLV2-34	0	0	0	0	0	0
IGLV2-33	0	0	0	0	0	0
IGLV3-32	0	0	0	0	0	0
IGLV3-31	0	0	0	0	0	0
IGLV3-30	0	0	0	0	0	0
BCRP4	0	0	0	0	0	0
POM121L1P	0	0	0	0	0	0
GGTLC2	0	0	0	0	0	0
IGLV3-29	0	0	0	0	0	0
IGLV2-28	0	0	0	0	0	0
IGLV3-27	0	0	0	0	0	0
IGLV3-26	0	0	0	0	0	0
IGLVVI-25-1	0	0	0	0	0	0
IGLV3-25	0	0	0	0	0	0
LL22NC03-102D1.16	0	0	0	0	0	0
LL22NC03-102D1.18	0	0	0	0	0	0
IGLV3-24	0	0	0	0	0	0
IGLV2-23	0	0	0	0	0	0
IGLVVI-22-1	0	0	0	0	0	0
IGLV3-22	0	0	0	0	0	0
IGLV3-21	0	0	0	0	0	0
IGLVI-20	0	0	0	0	0	0
IGLV3-19	0	0	0	0	0	0
LL22NC03-48A11.14	0	0	0	0	0	0
IGLV2-18	0	0	0	0	0	0
IGLV3-17	0	0	0	0	0	0
IGLV3-16	0	0	0	0	0	0
IGLV3-15	0	0	0	0	0	0
IGLV2-14	0	0	0	0	0	0
IGLV3-13	0	0	0	0	0	0
IGLV3-12	0	0	0	0	0	0
LL22NC03-24A12.8	0	0	0	0	0	0
LL22NC03-24A12.9	0	0	0	0	0	0
IGLV2-11	0	0	0	0	0	0
LL22NC03-84E4.13	0	0	0	0	0	0
IGLV3-10	0	0	0	0	0	0
LL22NC03-84E4.11	0	0	0	0	0	0
IGLV3-9	0	0	0	0	0	0
IGLV2-8	0	0	0	0	0	0
LL22NC03-84E4.8	0	0	0	0	0	0
IGLV3-7	0	0	0	0	0	0
IGLV3-6	0	0	0	0	0	0
IGLV2-5	0	0	0	0	0	0
IGLV3-4	0	0	0	0	0	0
IGLV4-3	0	0	0	0	0	0
IGLV3-2	0	0	0	0	0	0
IGLV3-1	0	0	0	0	0	0
MIR5571	0	0	0	0	0	0
IGLL5	0	0	0	0	0	0
IGLJ1	0	0	0	0	0	0
IGLC1	0	0	0	0	0	0
IGLJ2	0	0	0	0	0	0
IGLC2	0	0	0	0	0	0
IGLJ3	0	0	0	0	0	0
IGLC3	0	0	0	0	0	0
IGLJ4	0	0	0	0	0	0
IGLC4	0	0	0	0	0	0
IGLJ5	0	0	0	0	0	0
IGLC5	0	0	0	0	0	0
IGLJ6	0	0	0	0	0	0
IGLC6	0	0	0	0	0	0
IGLJ7	0	0	0	0	0	0
IGLC7	0	0	0	0	0	0
AP000361.2	2	2	2	4	3	0
AP000362.1	0	0	0	0	0	0
RSPH14	0	0	0	0	0	0
GNAZ	3	0	6	3	3	0
U7	0	0	0	0	0	0
RAB36	6	4	6	6	9	0
BCR	338	347	336	329	306	0
BCRP8	0	0	0	0	0	0
RN7SL263P	0	0	0	2	0	0
FBXW4P1	4	0	5	3	3	0
AP000343.1	1	2	0	0	1	0
AP000343.2	0	0	0	0	0	0
CES5AP1	0	0	0	0	0	0
ZDHHC8P1	0	0	1	0	0	0
KB-1269D1.8	0	0	0	0	0	0
AP000344.3	0	0	0	0	0	0
AP000344.4	0	0	0	3	0	0
AP000345.1	0	0	0	0	0	0
AP000345.4	0	0	0	0	0	0
PCAT14	0	0	0	0	0	0
AP000345.2	0	0	0	0	0	0
IGLL1	0	0	0	0	0	0
KB-208E9.1	0	0	0	0	0	0
KB-1572G7.5	0	0	0	0	0	0
DRICH1	0	0	0	0	0	0
KB-1572G7.4	0	0	0	0	0	0
KB-1572G7.3	0	0	0	0	0	0
GUSBP11	0	0	0	0	0	0
AP000347.4	0	1	0	0	0	0
ASLP1	0	0	0	0	0	0
KB-1572G7.2	0	0	0	0	0	0
AP000347.2	1	0	0	0	1	0
RGL4	2	0	2	0	4	0
ZNF70	21	13	10	4	16	0
VPREB3	0	2	2	0	0	0
C22orf15	0	0	2	0	0	0
CHCHD10	13	4	17	15	11	0
MMP11	3	13	8	8	7	0
AP000349.2	0	0	0	0	0	0
SMARCB1	92	106	102	101	104	0
DERL3	0	0	0	2	2	0
KB-1125A3.11	0	0	0	0	0	0
SLC2A11	3	5	1	4	1	0
AP000350.10	0	0	0	0	0	0
KB-1125A3.12	0	0	0	0	0	0
RN7SL268P	0	0	0	0	0	0
MIF	2	0	0	0	6	0
MIF-AS1	0	0	0	0	0	0
AP000350.5	0	0	0	0	0	0
AP000350.6	5	10	8	6	12	0
AP000350.7	0	0	0	0	0	0
AP000350.8	0	0	0	0	0	0
GSTT2B	17	14	25	13	16	0
KB-1125A3.10	0	0	0	0	1	0
DDTL	3	4	0	2	2	0
KB-226F1.2	2	0	0	0	0	0
DDT	13	19	16	16	16	0
AP000351.3	0	0	0	0	0	0
GSTT2	0	0	0	0	0	0
AP000351.4	0	0	0	0	0	0
GSTTP1	0	0	0	0	0	0
AP000351.13	0	0	0	0	0	0
CABIN1	114	94	98	122	127	0
KB-318B8.7	2	0	0	0	0	0
SUSD2	0	0	0	0	0	0
GGT5	71	77	79	78	79	0
GGTLC4P	2	0	0	0	2	0
POM121L9P	8	0	4	0	1	0
BCRP1	0	0	0	0	0	0
AP000354.2	19	28	31	29	25	0
SPECC1L	50	41	60	50	53	0
SPECC1L-ADORA2A	0	0	0	0	0	0
ADORA2A	1	0	0	0	0	0
ADORA2A-AS1	0	1	0	6	0	0
UPB1	0	1	0	0	0	0
AP000355.2	0	0	0	0	0	0
GUCD1	139	140	147	155	156	0
SNRPD3	156	152	153	143	123	0
GGT1	0	3	0	4	0	0
LRRC75B	4	10	6	8	3	0
AP000356.2	0	0	0	0	0	0
BCRP3	0	1	1	0	1	0
POM121L10P	0	0	0	0	0	0
ARL5AP4	6	2	4	7	5	0
AP000357.4	46	59	57	80	50	0
LL22NC03-N95F10.1	0	0	0	0	0	0
AP000358.5	0	0	0	0	0	0
CRIP1P4	0	0	0	0	0	0
PIWIL3	0	0	1	0	0	0
SGSM1	4	2	0	0	0	0
SNORD56	0	0	0	0	0	0
TMEM211	0	0	0	0	0	0
KIAA1671	109	89	77	108	102	0
CTA-243E7.4	0	0	1	1	0	0
CTA-243E7.3	1	0	0	0	0	0
CTA-243E7.2	0	0	0	0	0	0
CTA-243E7.1	0	2	0	0	0	0
CTA-221G9.12	0	0	0	0	0	0
CTA-221G9.10	3	2	7	3	2	0
CRYBB3	0	1	0	0	1	0
CTA-221G9.7	2	1	0	0	0	0
CRYBB2	0	1	0	0	0	0
CTA-221G9.11	0	0	0	0	0	0
RP3-462D8.2	0	0	0	0	0	0
IGLL3P	0	0	0	0	0	0
CTA-246H3.8	0	1	1	0	0	0
CTA-246H3.11	8	6	2	3	6	0
LRP5L	5	4	2	5	11	0
CTA-246H3.12	0	0	0	0	0	0
CTA-390C10.9	0	0	0	0	0	0
IGLVIVOR22-1	0	0	0	0	0	0
CRYBB2P1	34	20	34	35	20	0
MIR6817	0	0	0	0	0	0
CTA-390C10.10	0	0	0	0	0	0
CTA-407F11.8	0	0	0	0	0	0
GRK3	2	2	0	3	12	0
CTA-407F11.7	0	0	0	0	0	0
YES1P1	18	10	7	14	10	0
RNA5SP494	0	0	0	0	0	0
MYO18B	0	0	0	0	0	0
CTA-407F11.9	0	0	0	0	0	0
CTA-125H2.2	0	0	0	0	0	0
CTA-125H2.1	0	0	0	0	0	0
RN7SKP169	0	0	0	0	0	0
CTA-125H2.3	0	0	0	0	0	0
CTA-796E4.3	0	0	0	0	0	0
CTA-796E4.4	0	0	0	0	0	0
SEZ6L	0	0	0	0	0	0
RP11-259P1.1	0	0	0	0	0	0
RNA5SP495	0	0	0	0	0	0
CTB-1048E9.7	8	11	15	8	8	0
ASPHD2	16	8	18	16	20	0
HPS4	28	34	31	27	44	0
SRRD	34	21	32	16	30	0
TFIP11	27	34	56	42	46	0
CTA-445C9.14	2	2	0	3	0	0
TPST2	62	67	66	96	66	0
MIR548J	0	0	0	0	0	0
HMGB1P10	315	336	294	301	278	0
CRYBB1	0	0	0	0	0	0
CRYBA4	0	0	0	0	0	0
ISCA2P1	0	0	0	1	0	0
MIAT	0	0	0	0	0	0
MIAT_exon1	0	0	0	0	0	0
CTA-373H7.7	0	0	0	0	0	0
MIAT_exon5_1	0	0	0	0	0	0
MIAT_exon5_2	0	0	0	0	0	0
MIATNB	2	2	0	0	1	0
MIAT_exon5_3	0	0	0	0	0	0
LINC01422	0	0	1	0	0	0
RP1-40G4P.1	422	425	511	441	484	0
CTA-992D9.11	0	0	0	0	0	0
RNU6-1066P	0	0	0	0	0	0
CTA-992D9.10	0	0	0	0	0	0
CTA-992D9.9	0	0	0	0	0	0
CTA-992D9.6	0	0	0	0	0	0
CTA-992D9.8	0	0	0	0	0	0
CTA-992D9.7	0	0	0	0	0	0
CTA-503F6.2	0	0	0	0	0	0
RP5-1172A22.1	0	0	2	2	0	0
CTA-929C8.5	0	0	0	0	0	0
CTA-929C8.7	0	0	0	0	0	0
CTA-929C8.6	0	0	0	0	0	0
CTA-929C8.8	0	0	0	0	0	0
RP1-205F14P.1	0	0	0	0	0	0
RP11-46E17.6	0	0	0	0	0	0
RP1-231P7P.1	0	0	0	0	0	0
RP1-213J1P__B.1	0	0	0	0	0	0
RP1-213J1P__B.2	0	0	0	0	0	0
RP11-375H17.1	0	0	0	0	0	0
MN1	7	9	12	2	12	0
PITPNB	155	157	176	146	156	0
TTC28-AS1	2	5	8	2	5	0
TTC28-AS1_1	0	0	0	0	0	0
MIR3199-1	0	0	0	0	0	0
MIR3199-2	0	0	0	0	0	0
TTC28-AS1_2	0	0	0	0	0	0
TTC28	67	61	75	64	71	0
TTC28-AS1_3	0	0	0	0	0	0
TTC28-AS1_4	0	0	0	0	0	0
RN7SL757P	0	0	0	0	0	0
SNORD42	0	0	0	0	0	0
MIR5739	0	0	0	0	0	0
RN7SL162P	0	0	0	0	0	0
CHEK2	20	22	16	20	11	0
HSCB	5	4	9	4	6	0
CCDC117	52	74	33	46	56	0
XBP1	74	52	58	86	83	0
CTA-292E10.6	0	0	0	0	0	0
CTA-292E10.8	0	0	0	0	0	0
CTA-292E10.7	0	0	0	0	0	0
ZNRF3	12	12	16	16	28	0
ZNRF3-IT1	0	0	0	0	0	0
ZNRF3-AS1	0	0	0	0	0	0
C22orf31	0	0	0	0	0	0
KREMEN1	4	8	10	0	2	0
CTA-747E2.10	0	0	1	0	0	0
RNU6-810P	0	0	0	0	0	0
RNU6-1219P	0	0	0	0	0	0
EMID1	0	0	0	0	0	0
RHBDD3	34	38	20	26	45	0
CTA-984G1.5	0	0	0	2	0	0
EWSR1	378	376	379	379	398	0
GAS2L1	105	48	89	71	84	0
RASL10A	0	2	0	0	0	0
AC002059.10	0	0	0	0	0	0
AP1B1	348	281	329	309	317	0
MIR3653	0	0	0	0	0	0
SNORD125	0	0	0	0	0	0
AC000041.8	0	0	0	0	0	0
RFPL4AP6	0	0	0	0	0	0
